Jurisdiction,Date,New Cases,7-day Average New Cases,Cumulative cases                          ,Population (2019),New Case Rate,7-Day Average New Case Rate,Cumulative Case Rate,FIPS,percent_test_results_reported_positive_last_7_days,community_transmission_level,Distributed,Administered,Administered_Dose1_Recip,Administered_Dose1_Pop_Pct,Series_Complete_Yes,Series_Complete_Pop_Pct,Additional_Doses,Additional_Doses_Vax_Pct
Adams,2022-02-15,13.0,26.0,24305.0,103009.0,12.6,25.2,23595.0,42001.0,13.2,high,28220625,21900089,10610292,82.9,8520026,66.6,3459145.0,40.6
Allegheny,2022-02-15,212.0,329.3,258004.0,1216045.0,17.4,27.1,21216.6,42003.0,12.28,high,28220625,21900089,10610292,82.9,8520026,66.6,3459145.0,40.6
Armstrong,2022-02-15,17.0,24.3,14984.0,64735.0,26.3,37.5,23146.7,42005.0,16.96,high,28220625,21900089,10610292,82.9,8520026,66.6,3459145.0,40.6
Beaver,2022-02-15,43.0,77.6,39317.0,163929.0,26.2,47.3,23984.2,42007.0,17.63,high,28220625,21900089,10610292,82.9,8520026,66.6,3459145.0,40.6
Bedford,2022-02-15,10.0,15.1,10735.0,47888.0,20.9,31.6,22416.9,42009.0,18.91,high,28220625,21900089,10610292,82.9,8520026,66.6,3459145.0,40.6
Berks,2022-02-15,65.0,93.7,100951.0,421164.0,15.4,22.3,23969.5,42011.0,13.92,high,28220625,21900089,10610292,82.9,8520026,66.6,3459145.0,40.6
Blair,2022-02-15,35.0,68.1,29055.0,121829.0,28.7,55.9,23849.0,42013.0,13.97,high,28220625,21900089,10610292,82.9,8520026,66.6,3459145.0,40.6
Bradford,2022-02-15,31.0,24.4,14627.0,60323.0,51.4,40.5,24247.8,42015.0,14.8,high,28220625,21900089,10610292,82.9,8520026,66.6,3459145.0,40.6
Bucks,2022-02-15,81.0,104.7,120893.0,628270.0,12.9,16.7,19242.2,42017.0,7.22,high,28220625,21900089,10610292,82.9,8520026,66.6,3459145.0,40.6
Butler,2022-02-15,19.0,48.7,43647.0,187853.0,10.1,25.9,23234.7,42019.0,13.33,high,28220625,21900089,10610292,82.9,8520026,66.6,3459145.0,40.6
Cambria,2022-02-15,26.0,53.6,33892.0,130192.0,20.0,41.1,26032.3,42021.0,11.48,high,28220625,21900089,10610292,82.9,8520026,66.6,3459145.0,40.6
Cameron,2022-02-15,0.0,0.7,800.0,4447.0,0.0,16.1,17989.7,42023.0,23.68,high,28220625,21900089,10610292,82.9,8520026,66.6,3459145.0,40.6
Carbon,2022-02-15,17.0,15.6,15629.0,64182.0,26.5,24.3,24351.1,42025.0,12.53,high,28220625,21900089,10610292,82.9,8520026,66.6,3459145.0,40.6
Centre,2022-02-15,37.0,46.7,34346.0,162385.0,22.8,28.8,21151.0,42027.0,9.12,high,28220625,21900089,10610292,82.9,8520026,66.6,3459145.0,40.6
Chester,2022-02-15,164.0,109.9,89564.0,524989.0,31.2,20.9,17060.2,42029.0,8.53,high,28220625,21900089,10610292,82.9,8520026,66.6,3459145.0,40.6
Clarion,2022-02-15,9.0,7.6,8058.0,38438.0,23.4,19.7,20963.6,42031.0,9.25,high,28220625,21900089,10610292,82.9,8520026,66.6,3459145.0,40.6
Clearfield,2022-02-15,42.0,32.3,18759.0,79255.0,53.0,40.7,23669.2,42033.0,12.4,high,28220625,21900089,10610292,82.9,8520026,66.6,3459145.0,40.6
Clinton,2022-02-15,30.0,17.1,8878.0,38632.0,77.7,44.4,22980.9,42035.0,15.06,high,28220625,21900089,10610292,82.9,8520026,66.6,3459145.0,40.6
Columbia,2022-02-15,16.0,27.9,14686.0,64964.0,24.6,42.9,22606.4,42037.0,17.65,high,28220625,21900089,10610292,82.9,8520026,66.6,3459145.0,40.6
Crawford,2022-02-15,22.0,24.9,19476.0,84629.0,26.0,29.4,23013.4,42039.0,22.12,high,28220625,21900089,10610292,82.9,8520026,66.6,3459145.0,40.6
Cumberland,2022-02-15,58.0,79.1,49905.0,253370.0,22.9,31.2,19696.5,42041.0,12.93,high,28220625,21900089,10610292,82.9,8520026,66.6,3459145.0,40.6
Dauphin,2022-02-15,65.0,69.6,58254.0,278299.0,23.4,25.0,20932.2,42043.0,14.34,high,28220625,21900089,10610292,82.9,8520026,66.6,3459145.0,40.6
Delaware,2022-02-15,64.0,86.7,108105.0,566747.0,11.3,15.3,19074.6,42045.0,7.37,high,28220625,21900089,10610292,82.9,8520026,66.6,3459145.0,40.6
Elk,2022-02-15,8.0,11.0,6989.0,29910.0,26.7,36.8,23366.8,42047.0,12.91,high,28220625,21900089,10610292,82.9,8520026,66.6,3459145.0,40.6
Erie,2022-02-15,29.0,70.3,55903.0,269728.0,10.8,26.1,20725.7,42049.0,14.33,high,28220625,21900089,10610292,82.9,8520026,66.6,3459145.0,40.6
Fayette,2022-02-15,47.0,66.3,30139.0,129274.0,36.4,51.3,23314.0,42051.0,18.01,high,28220625,21900089,10610292,82.9,8520026,66.6,3459145.0,40.6
Forest,2022-02-15,7.0,4.7,2208.0,7247.0,96.6,65.1,30467.8,42053.0,9.9,high,28220625,21900089,10610292,82.9,8520026,66.6,3459145.0,40.6
Franklin,2022-02-15,22.0,40.7,39678.0,155027.0,14.2,26.3,25594.3,42055.0,12.8,high,28220625,21900089,10610292,82.9,8520026,66.6,3459145.0,40.6
Fulton,2022-02-15,4.0,5.6,4005.0,14530.0,27.5,38.3,27563.7,42057.0,13.07,high,28220625,21900089,10610292,82.9,8520026,66.6,3459145.0,40.6
Greene,2022-02-15,6.0,16.4,8192.0,36233.0,16.6,45.3,22609.2,42059.0,10.5,high,28220625,21900089,10610292,82.9,8520026,66.6,3459145.0,40.6
Huntingdon,2022-02-15,22.0,20.1,11260.0,45144.0,48.7,44.6,24942.4,42061.0,8.87,high,28220625,21900089,10610292,82.9,8520026,66.6,3459145.0,40.6
Indiana,2022-02-15,45.0,34.9,16935.0,84073.0,53.5,41.5,20143.2,42063.0,11.32,high,28220625,21900089,10610292,82.9,8520026,66.6,3459145.0,40.6
Jefferson,2022-02-15,14.0,18.0,8748.0,43425.0,32.2,41.5,20145.1,42065.0,17.86,high,28220625,21900089,10610292,82.9,8520026,66.6,3459145.0,40.6
Juniata,2022-02-15,5.0,6.6,4683.0,24763.0,20.2,26.5,18911.3,42067.0,10.53,high,28220625,21900089,10610292,82.9,8520026,66.6,3459145.0,40.6
Lackawanna,2022-02-15,71.0,75.9,42226.0,209674.0,33.9,36.2,20138.9,42069.0,12.3,high,28220625,21900089,10610292,82.9,8520026,66.6,3459145.0,40.6
Lancaster,2022-02-15,72.0,120.0,119227.0,545724.0,13.2,22.0,21847.5,42071.0,12.46,high,28220625,21900089,10610292,82.9,8520026,66.6,3459145.0,40.6
Lawrence,2022-02-15,16.0,18.7,18610.0,85512.0,18.7,21.9,21763.0,42073.0,13.02,high,28220625,21900089,10610292,82.9,8520026,66.6,3459145.0,40.6
Lebanon,2022-02-15,16.0,31.9,36095.0,141793.0,11.3,22.5,25456.1,42075.0,13.61,high,28220625,21900089,10610292,82.9,8520026,66.6,3459145.0,40.6
Lehigh,2022-02-15,49.0,64.9,88357.0,369318.0,13.3,17.6,23924.4,42077.0,12.34,high,28220625,21900089,10610292,82.9,8520026,66.6,3459145.0,40.6
Luzerne,2022-02-15,89.0,86.1,72014.0,317417.0,28.0,27.1,22687.5,42079.0,11.32,high,28220625,21900089,10610292,82.9,8520026,66.6,3459145.0,40.6
Lycoming,2022-02-15,28.0,48.1,27992.0,113299.0,24.7,42.5,24706.3,42081.0,11.88,high,28220625,21900089,10610292,82.9,8520026,66.6,3459145.0,40.6
McKean,2022-02-15,7.0,12.9,7952.0,40625.0,17.2,31.6,19574.2,42083.0,20.92,high,28220625,21900089,10610292,82.9,8520026,66.6,3459145.0,40.6
Mercer,2022-02-15,18.0,23.6,22993.0,109424.0,16.4,21.5,21012.8,42085.0,12.01,high,28220625,21900089,10610292,82.9,8520026,66.6,3459145.0,40.6
Mifflin,2022-02-15,27.0,25.7,12065.0,46138.0,58.5,55.7,26149.8,42087.0,19.31,high,28220625,21900089,10610292,82.9,8520026,66.6,3459145.0,40.6
Monroe,2022-02-15,24.0,36.6,36410.0,170271.0,14.1,21.5,21383.6,42089.0,13.02,high,28220625,21900089,10610292,82.9,8520026,66.6,3459145.0,40.6
Montgomery,2022-02-15,109.0,148.6,148376.0,830915.0,13.1,17.9,17856.9,42091.0,7.88,high,28220625,21900089,10610292,82.9,8520026,66.6,3459145.0,40.6
Montour,2022-02-15,10.0,7.9,4398.0,18230.0,54.9,43.1,24125.1,42093.0,19.46,high,28220625,21900089,10610292,82.9,8520026,66.6,3459145.0,40.6
Northampton,2022-02-15,63.0,64.9,78336.0,305285.0,20.6,21.2,25660.0,42095.0,8.64,substantial,28220625,21900089,10610292,82.9,8520026,66.6,3459145.0,40.6
Northumberland,2022-02-15,41.0,31.0,22424.0,90843.0,45.1,34.1,24684.3,42097.0,13.31,high,28220625,21900089,10610292,82.9,8520026,66.6,3459145.0,40.6
Perry,2022-02-15,13.0,13.3,8698.0,46272.0,28.1,28.7,18797.5,42099.0,17.6,high,28220625,21900089,10610292,82.9,8520026,66.6,3459145.0,40.6
Philadelphia,2022-02-15,149.0,249.6,303173.0,1584064.0,9.4,15.8,19138.9,42101.0,5.08,high,28220625,21900089,10610292,82.9,8520026,66.6,3459145.0,40.6
Pike,2022-02-15,19.0,16.1,9696.0,55809.0,34.0,28.9,17373.5,42103.0,12.56,high,28220625,21900089,10610292,82.9,8520026,66.6,3459145.0,40.6
Potter,2022-02-15,1.0,6.3,3078.0,16526.0,6.1,38.0,18625.2,42105.0,23.87,high,28220625,21900089,10610292,82.9,8520026,66.6,3459145.0,40.6
Schuylkill,2022-02-15,32.0,36.1,33822.0,141359.0,22.6,25.6,23926.3,42107.0,11.62,high,28220625,21900089,10610292,82.9,8520026,66.6,3459145.0,40.6
Snyder,2022-02-15,11.0,10.3,7963.0,40372.0,27.2,25.5,19724.1,42109.0,14.36,high,28220625,21900089,10610292,82.9,8520026,66.6,3459145.0,40.6
Somerset,2022-02-15,19.0,27.4,18404.0,73447.0,25.9,37.3,25057.5,42111.0,10.55,high,28220625,21900089,10610292,82.9,8520026,66.6,3459145.0,40.6
Sullivan,2022-02-15,2.0,1.0,1038.0,6066.0,33.0,16.5,17111.8,42113.0,2.03,substantial,28220625,21900089,10610292,82.9,8520026,66.6,3459145.0,40.6
Susquehanna,2022-02-15,10.0,10.4,7511.0,40328.0,24.8,25.9,18624.8,42115.0,12.98,high,28220625,21900089,10610292,82.9,8520026,66.6,3459145.0,40.6
Tioga,2022-02-15,16.0,14.9,7774.0,40591.0,39.4,36.6,19152.0,42117.0,16.7,high,28220625,21900089,10610292,82.9,8520026,66.6,3459145.0,40.6
Union,2022-02-15,18.0,15.1,11415.0,44923.0,40.1,33.7,25410.1,42119.0,14.04,high,28220625,21900089,10610292,82.9,8520026,66.6,3459145.0,40.6
Venango,2022-02-15,3.0,11.3,11065.0,50668.0,5.9,22.3,21838.2,42121.0,11.19,high,28220625,21900089,10610292,82.9,8520026,66.6,3459145.0,40.6
Warren,2022-02-15,1.0,11.3,7122.0,39191.0,2.6,28.8,18172.5,42123.0,11.43,high,28220625,21900089,10610292,82.9,8520026,66.6,3459145.0,40.6
Washington,2022-02-15,43.0,67.7,49792.0,206865.0,20.8,32.7,24069.8,42125.0,17.86,high,28220625,21900089,10610292,82.9,8520026,66.6,3459145.0,40.6
Wayne,2022-02-15,19.0,12.7,9843.0,51361.0,37.0,24.8,19164.3,42127.0,9.61,high,28220625,21900089,10610292,82.9,8520026,66.6,3459145.0,40.6
Westmoreland,2022-02-15,82.0,126.6,78159.0,348899.0,23.5,36.3,22401.6,42129.0,16.44,high,28220625,21900089,10610292,82.9,8520026,66.6,3459145.0,40.6
Wyoming,2022-02-15,6.0,7.1,4944.0,26794.0,22.4,26.7,18451.9,42131.0,15.07,high,28220625,21900089,10610292,82.9,8520026,66.6,3459145.0,40.6
York,2022-02-15,75.0,125.1,116779.0,449058.0,16.7,27.9,26005.3,42133.0,13.29,high,28220625,21900089,10610292,82.9,8520026,66.6,3459145.0,40.6
Adams,2022-04-06,8.0,7.3,24739.0,103009.0,7.8,7.1,24016.3,42001.0,2.58,moderate,29665125,22431687,10778370,84.2,8673652,67.8,3644256.0,42.0
Allegheny,2022-04-06,123.0,69.6,263616.0,1216045.0,10.1,5.7,21678.1,42003.0,3.33,moderate,29665125,22431687,10778370,84.2,8673652,67.8,3644256.0,42.0
Armstrong,2022-04-06,3.0,2.7,15249.0,64735.0,4.6,4.2,23556.0,42005.0,4.76,moderate,29665125,22431687,10778370,84.2,8673652,67.8,3644256.0,42.0
Beaver,2022-04-06,12.0,5.4,40118.0,163929.0,7.3,3.3,24472.8,42007.0,2.05,moderate,29665125,22431687,10778370,84.2,8673652,67.8,3644256.0,42.0
Bedford,2022-04-06,1.0,0.6,10967.0,47888.0,2.1,1.2,22901.4,42009.0,5.04,moderate,29665125,22431687,10778370,84.2,8673652,67.8,3644256.0,42.0
Berks,2022-04-06,23.0,15.7,102228.0,421164.0,5.5,3.7,24272.7,42011.0,1.99,moderate,29665125,22431687,10778370,84.2,8673652,67.8,3644256.0,42.0
Blair,2022-04-06,8.0,5.0,29638.0,121829.0,6.6,4.1,24327.5,42013.0,1.73,moderate,29665125,22431687,10778370,84.2,8673652,67.8,3644256.0,42.0
Bradford,2022-04-06,9.0,12.6,15161.0,60323.0,14.9,20.8,25133.0,42015.0,4.28,high,29665125,22431687,10778370,84.2,8673652,67.8,3644256.0,42.0
Bucks,2022-04-06,49.0,43.1,123181.0,628270.0,7.8,6.9,19606.4,42017.0,2.45,moderate,29665125,22431687,10778370,84.2,8673652,67.8,3644256.0,42.0
Butler,2022-04-06,12.0,7.9,44421.0,187853.0,6.4,4.2,23646.7,42019.0,3.82,moderate,29665125,22431687,10778370,84.2,8673652,67.8,3644256.0,42.0
Cambria,2022-04-06,9.0,4.0,34556.0,130192.0,6.9,3.1,26542.3,42021.0,1.19,moderate,29665125,22431687,10778370,84.2,8673652,67.8,3644256.0,42.0
Cameron,2022-04-06,0.0,0.0,814.0,4447.0,0.0,0.0,18304.5,42023.0,0.0,low,29665125,22431687,10778370,84.2,8673652,67.8,3644256.0,42.0
Carbon,2022-04-06,7.0,3.9,15877.0,64182.0,10.9,6.0,24737.5,42025.0,3.05,moderate,29665125,22431687,10778370,84.2,8673652,67.8,3644256.0,42.0
Centre,2022-04-06,17.0,9.9,35155.0,162385.0,10.5,6.1,21649.2,42027.0,2.8,moderate,29665125,22431687,10778370,84.2,8673652,67.8,3644256.0,42.0
Chester,2022-04-06,56.0,38.7,91757.0,524989.0,10.7,7.4,17477.9,42029.0,3.68,moderate,29665125,22431687,10778370,84.2,8673652,67.8,3644256.0,42.0
Clarion,2022-04-06,1.0,1.0,8227.0,38438.0,2.6,2.6,21403.3,42031.0,2.0,moderate,29665125,22431687,10778370,84.2,8673652,67.8,3644256.0,42.0
Clearfield,2022-04-06,4.0,2.0,19272.0,79255.0,5.0,2.5,24316.4,42033.0,1.88,moderate,29665125,22431687,10778370,84.2,8673652,67.8,3644256.0,42.0
Clinton,2022-04-06,2.0,0.9,9034.0,38632.0,5.2,2.2,23384.8,42035.0,0.57,low,29665125,22431687,10778370,84.2,8673652,67.8,3644256.0,42.0
Columbia,2022-04-06,8.0,4.0,15052.0,64964.0,12.3,6.2,23169.8,42037.0,3.9,moderate,29665125,22431687,10778370,84.2,8673652,67.8,3644256.0,42.0
Crawford,2022-04-06,3.0,2.7,19761.0,84629.0,3.5,3.2,23350.2,42039.0,2.65,moderate,29665125,22431687,10778370,84.2,8673652,67.8,3644256.0,42.0
Cumberland,2022-04-06,14.0,10.0,50905.0,253370.0,5.5,3.9,20091.2,42041.0,3.41,moderate,29665125,22431687,10778370,84.2,8673652,67.8,3644256.0,42.0
Dauphin,2022-04-06,8.0,7.3,59048.0,278299.0,2.9,2.6,21217.5,42043.0,2.31,moderate,29665125,22431687,10778370,84.2,8673652,67.8,3644256.0,42.0
Delaware,2022-04-06,47.0,38.6,109984.0,566747.0,8.3,6.8,19406.2,42045.0,3.42,moderate,29665125,22431687,10778370,84.2,8673652,67.8,3644256.0,42.0
Elk,2022-04-06,1.0,0.9,7131.0,29910.0,3.3,2.9,23841.5,42047.0,3.13,moderate,29665125,22431687,10778370,84.2,8673652,67.8,3644256.0,42.0
Erie,2022-04-06,27.0,14.1,57073.0,269728.0,10.0,5.2,21159.5,42049.0,3.13,moderate,29665125,22431687,10778370,84.2,8673652,67.8,3644256.0,42.0
Fayette,2022-04-06,5.0,4.4,31022.0,129274.0,3.9,3.4,23997.1,42051.0,3.26,moderate,29665125,22431687,10778370,84.2,8673652,67.8,3644256.0,42.0
Forest,2022-04-06,1.0,0.1,2240.0,7247.0,13.8,2.0,30909.3,42053.0,8.33,substantial,29665125,22431687,10778370,84.2,8673652,67.8,3644256.0,42.0
Franklin,2022-04-06,3.0,5.3,40302.0,155027.0,1.9,3.4,25996.8,42055.0,1.84,moderate,29665125,22431687,10778370,84.2,8673652,67.8,3644256.0,42.0
Fulton,2022-04-06,1.0,0.3,4122.0,14530.0,6.9,2.0,28368.9,42057.0,1.52,low,29665125,22431687,10778370,84.2,8673652,67.8,3644256.0,42.0
Greene,2022-04-06,0.0,0.9,8450.0,36233.0,0.0,2.4,23321.3,42059.0,1.56,moderate,29665125,22431687,10778370,84.2,8673652,67.8,3644256.0,42.0
Huntingdon,2022-04-06,5.0,1.9,11496.0,45144.0,11.1,4.1,25465.2,42061.0,2.34,moderate,29665125,22431687,10778370,84.2,8673652,67.8,3644256.0,42.0
Indiana,2022-04-06,11.0,2.4,17401.0,84073.0,13.1,2.9,20697.5,42063.0,3.79,moderate,29665125,22431687,10778370,84.2,8673652,67.8,3644256.0,42.0
Jefferson,2022-04-06,0.0,2.1,9003.0,43425.0,0.0,4.9,20732.3,42065.0,4.26,moderate,29665125,22431687,10778370,84.2,8673652,67.8,3644256.0,42.0
Juniata,2022-04-06,0.0,0.3,4765.0,24763.0,0.0,1.2,19242.4,42067.0,0.52,low,29665125,22431687,10778370,84.2,8673652,67.8,3644256.0,42.0
Lackawanna,2022-04-06,41.0,17.7,43459.0,209674.0,19.6,8.4,20726.9,42069.0,3.59,moderate,29665125,22431687,10778370,84.2,8673652,67.8,3644256.0,42.0
Lancaster,2022-04-06,28.0,20.4,120895.0,545724.0,5.1,3.7,22153.1,42071.0,2.27,moderate,29665125,22431687,10778370,84.2,8673652,67.8,3644256.0,42.0
Lawrence,2022-04-06,5.0,2.4,18936.0,85512.0,5.8,2.8,22144.3,42073.0,2.99,moderate,29665125,22431687,10778370,84.2,8673652,67.8,3644256.0,42.0
Lebanon,2022-04-06,5.0,4.6,36536.0,141793.0,3.5,3.2,25767.1,42075.0,2.66,moderate,29665125,22431687,10778370,84.2,8673652,67.8,3644256.0,42.0
Lehigh,2022-04-06,39.0,23.3,89418.0,369318.0,10.6,6.3,24211.7,42077.0,3.96,moderate,29665125,22431687,10778370,84.2,8673652,67.8,3644256.0,42.0
Luzerne,2022-04-06,17.0,11.6,73448.0,317417.0,5.4,3.6,23139.3,42079.0,1.98,moderate,29665125,22431687,10778370,84.2,8673652,67.8,3644256.0,42.0
Lycoming,2022-04-06,11.0,3.6,28403.0,113299.0,9.7,3.2,25069.1,42081.0,0.73,low,29665125,22431687,10778370,84.2,8673652,67.8,3644256.0,42.0
McKean,2022-04-06,6.0,3.4,8191.0,40625.0,14.8,8.4,20162.5,42083.0,1.05,moderate,29665125,22431687,10778370,84.2,8673652,67.8,3644256.0,42.0
Mercer,2022-04-06,6.0,3.4,23307.0,109424.0,5.5,3.1,21299.7,42085.0,0.91,moderate,29665125,22431687,10778370,84.2,8673652,67.8,3644256.0,42.0
Mifflin,2022-04-06,0.0,1.7,12266.0,46138.0,0.0,3.7,26585.5,42087.0,1.33,moderate,29665125,22431687,10778370,84.2,8673652,67.8,3644256.0,42.0
Monroe,2022-04-06,17.0,11.0,36976.0,170271.0,10.0,6.5,21716.0,42089.0,4.21,moderate,29665125,22431687,10778370,84.2,8673652,67.8,3644256.0,42.0
Montgomery,2022-04-06,112.0,73.6,152518.0,830915.0,13.5,8.9,18355.4,42091.0,4.75,substantial,29665125,22431687,10778370,84.2,8673652,67.8,3644256.0,42.0
Montour,2022-04-06,3.0,1.7,4519.0,18230.0,16.5,9.4,24788.8,42093.0,3.91,substantial,29665125,22431687,10778370,84.2,8673652,67.8,3644256.0,42.0
Northampton,2022-04-06,39.0,23.3,79528.0,305285.0,12.8,7.6,26050.4,42095.0,4.32,moderate,29665125,22431687,10778370,84.2,8673652,67.8,3644256.0,42.0
Northumberland,2022-04-06,4.0,4.1,22812.0,90843.0,4.4,4.6,25111.5,42097.0,1.97,moderate,29665125,22431687,10778370,84.2,8673652,67.8,3644256.0,42.0
Perry,2022-04-06,1.0,1.0,8825.0,46272.0,2.2,2.2,19072.0,42099.0,3.54,moderate,29665125,22431687,10778370,84.2,8673652,67.8,3644256.0,42.0
Philadelphia,2022-04-06,250.0,158.6,309039.0,1584064.0,15.8,10.0,19509.2,42101.0,3.51,substantial,29665125,22431687,10778370,84.2,8673652,67.8,3644256.0,42.0
Pike,2022-04-06,29.0,12.1,10176.0,55809.0,52.0,21.8,18233.6,42103.0,3.56,substantial,29665125,22431687,10778370,84.2,8673652,67.8,3644256.0,42.0
Potter,2022-04-06,5.0,2.3,3187.0,16526.0,30.3,13.8,19284.8,42105.0,4.65,moderate,29665125,22431687,10778370,84.2,8673652,67.8,3644256.0,42.0
Schuylkill,2022-04-06,4.0,3.9,34407.0,141359.0,2.8,2.7,24340.2,42107.0,2.39,moderate,29665125,22431687,10778370,84.2,8673652,67.8,3644256.0,42.0
Snyder,2022-04-06,0.0,0.3,8097.0,40372.0,0.0,0.7,20056.0,42109.0,1.73,moderate,29665125,22431687,10778370,84.2,8673652,67.8,3644256.0,42.0
Somerset,2022-04-06,2.0,2.1,18699.0,73447.0,2.7,2.9,25459.2,42111.0,1.73,moderate,29665125,22431687,10778370,84.2,8673652,67.8,3644256.0,42.0
Sullivan,2022-04-06,0.0,0.3,1050.0,6066.0,0.0,4.7,17309.6,42113.0,1.67,moderate,29665125,22431687,10778370,84.2,8673652,67.8,3644256.0,42.0
Susquehanna,2022-04-06,17.0,7.0,7809.0,40328.0,42.2,17.4,19363.7,42115.0,4.69,substantial,29665125,22431687,10778370,84.2,8673652,67.8,3644256.0,42.0
Tioga,2022-04-06,3.0,2.9,8011.0,40591.0,7.4,7.0,19735.9,42117.0,3.09,moderate,29665125,22431687,10778370,84.2,8673652,67.8,3644256.0,42.0
Union,2022-04-06,0.0,0.7,11682.0,44923.0,0.0,1.6,26004.5,42119.0,1.34,moderate,29665125,22431687,10778370,84.2,8673652,67.8,3644256.0,42.0
Venango,2022-04-06,3.0,1.1,11240.0,50668.0,5.9,2.3,22183.6,42121.0,0.6,low,29665125,22431687,10778370,84.2,8673652,67.8,3644256.0,42.0
Warren,2022-04-06,4.0,1.7,7335.0,39191.0,10.2,4.4,18716.0,42123.0,1.98,moderate,29665125,22431687,10778370,84.2,8673652,67.8,3644256.0,42.0
Washington,2022-04-06,11.0,10.1,50807.0,206865.0,5.3,4.9,24560.5,42125.0,3.38,moderate,29665125,22431687,10778370,84.2,8673652,67.8,3644256.0,42.0
Wayne,2022-04-06,4.0,4.4,10130.0,51361.0,7.8,8.6,19723.1,42127.0,2.55,substantial,29665125,22431687,10778370,84.2,8673652,67.8,3644256.0,42.0
Westmoreland,2022-04-06,23.0,16.0,79676.0,348899.0,6.6,4.6,22836.4,42129.0,3.28,moderate,29665125,22431687,10778370,84.2,8673652,67.8,3644256.0,42.0
Wyoming,2022-04-06,1.0,1.1,5073.0,26794.0,3.7,4.3,18933.3,42131.0,4.88,moderate,29665125,22431687,10778370,84.2,8673652,67.8,3644256.0,42.0
York,2022-04-06,25.0,18.3,118545.0,449058.0,5.6,4.1,26398.6,42133.0,2.25,moderate,29665125,22431687,10778370,84.2,8673652,67.8,3644256.0,42.0
Adams,2021-10-25,24.0,40.0,13272.0,103009.0,23.3,38.8,12884.3,42001.0,14.72,high,20443185,17265727,9797149,76.5,7697728,60.1,350773.0,4.6
Allegheny,2021-10-25,363.0,350.0,131794.0,1216045.0,29.9,28.8,10837.9,42003.0,6.49,high,20443185,17265727,9797149,76.5,7697728,60.1,350773.0,4.6
Armstrong,2021-10-25,30.0,29.7,8810.0,64735.0,46.3,45.9,13609.3,42005.0,15.41,high,20443185,17265727,9797149,76.5,7697728,60.1,350773.0,4.6
Beaver,2021-10-25,111.0,87.0,22181.0,163929.0,67.7,53.1,13530.9,42007.0,11.07,high,20443185,17265727,9797149,76.5,7697728,60.1,350773.0,4.6
Bedford,2021-10-25,17.0,23.1,6793.0,47888.0,35.5,48.3,14185.2,42009.0,18.17,high,20443185,17265727,9797149,76.5,7697728,60.1,350773.0,4.6
Berks,2021-10-25,109.0,135.6,58855.0,421164.0,25.9,32.2,13974.4,42011.0,10.7,high,20443185,17265727,9797149,76.5,7697728,60.1,350773.0,4.6
Blair,2021-10-25,76.0,70.9,17425.0,121829.0,62.4,58.2,14302.8,42013.0,10.71,high,20443185,17265727,9797149,76.5,7697728,60.1,350773.0,4.6
Bradford,2021-10-25,12.0,20.4,7688.0,60323.0,19.9,33.9,12744.7,42015.0,14.02,high,20443185,17265727,9797149,76.5,7697728,60.1,350773.0,4.6
Bucks,2021-10-25,109.0,119.0,73394.0,628270.0,17.3,18.9,11681.9,42017.0,6.24,high,20443185,17265727,9797149,76.5,7697728,60.1,350773.0,4.6
Butler,2021-10-25,64.0,71.7,25094.0,187853.0,34.1,38.2,13358.3,42019.0,10.29,high,20443185,17265727,9797149,76.5,7697728,60.1,350773.0,4.6
Cambria,2021-10-25,57.0,64.6,19482.0,130192.0,43.8,49.6,14964.1,42021.0,9.06,high,20443185,17265727,9797149,76.5,7697728,60.1,350773.0,4.6
Cameron,2021-10-25,6.0,2.7,498.0,4447.0,134.9,61.0,11198.6,42023.0,10.77,high,20443185,17265727,9797149,76.5,7697728,60.1,350773.0,4.6
Carbon,2021-10-25,42.0,31.1,8909.0,64182.0,65.4,48.5,13880.8,42025.0,10.35,high,20443185,17265727,9797149,76.5,7697728,60.1,350773.0,4.6
Centre,2021-10-25,33.0,37.0,20877.0,162385.0,20.3,22.8,12856.5,42027.0,6.59,high,20443185,17265727,9797149,76.5,7697728,60.1,350773.0,4.6
Chester,2021-10-25,88.0,100.4,50886.0,524989.0,16.8,19.1,9692.8,42029.0,5.85,high,20443185,17265727,9797149,76.5,7697728,60.1,350773.0,4.6
Clarion,2021-10-25,3.0,29.0,4790.0,38438.0,7.8,75.4,12461.6,42031.0,15.2,high,20443185,17265727,9797149,76.5,7697728,60.1,350773.0,4.6
Clearfield,2021-10-25,33.0,37.1,11249.0,79255.0,41.6,46.9,14193.4,42033.0,8.22,high,20443185,17265727,9797149,76.5,7697728,60.1,350773.0,4.6
Clinton,2021-10-25,14.0,21.3,4952.0,38632.0,36.2,55.1,12818.4,42035.0,11.28,high,20443185,17265727,9797149,76.5,7697728,60.1,350773.0,4.6
Columbia,2021-10-25,35.0,39.0,7944.0,64964.0,53.9,60.0,12228.3,42037.0,14.97,high,20443185,17265727,9797149,76.5,7697728,60.1,350773.0,4.6
Crawford,2021-10-25,39.0,43.6,10987.0,84629.0,46.1,51.5,12982.5,42039.0,27.19,high,20443185,17265727,9797149,76.5,7697728,60.1,350773.0,4.6
Cumberland,2021-10-25,55.0,80.4,28328.0,253370.0,21.7,31.7,11180.5,42041.0,8.38,high,20443185,17265727,9797149,76.5,7697728,60.1,350773.0,4.6
