"FIPS","Jurisdiction","seven_day_avg_cases","Population","New_Case_Rate","seven_day_avg_case_rate","Cumulative_Case_Rate","county_name","Cases_Per_100k","percent_tested_positive","transmission_level","TotalScore","MaxScore","HHAScore","PoveryPer","LIA_Score","Rural","Rural_Score","Completeness_pct","Administered_Dose1_Recip","Administered_Dose1_Recip_5Plus","Administered_Dose1_Recip_5PlusPop_Pct","Administered_Dose1_Recip_12Plus","Administered_Dose1_Recip_12PlusPop_Pct","Administered_Dose1_Recip_18Plus","Administered_Dose1_Recip_18PlusPop_Pct","Administered_Dose1_Recip_65Plus","Administered_Dose1_Recip_65PlusPop_Pct","Series_Complete_Yes","Series_Complete_Pop_Pct","Series_Complete_5Plus","Series_Complete_5PlusPop_Pct","Series_Complete_12Plus","Series_Complete_12PlusPop_Pct","Series_Complete_18Plus","Series_Complete_18PlusPop_Pct","Series_Complete_65Plus","Series_Complete_65PlusPop_Pct","Booster_Doses","Booster_Doses_Vax_Pct","Booster_Doses_12Plus","Booster_Doses_12Plus_Vax_Pct","Booster_Doses_18Plus","Booster_Doses_18Plus_Vax_Pct","Booster_Doses_50Plus","Booster_Doses_50Plus_Vax_Pct","Booster_Doses_65Plus","Booster_Doses_65Plus_Vax_Pct","Series_Complete_Pop_Pct_SVI","Series_Complete_5PlusPop_Pct_SVI","Series_Complete_12PlusPop_Pct_SVI","Series_Complete_18PlusPop_Pct_SVI","Series_Complete_65PlusPop_Pct_SVI","Series_Complete_Pop_Pct_UR_Equity","Series_Complete_5PlusPop_Pct_UR_Equity","Series_Complete_12PlusPop_Pct_UR_Equity","Series_Complete_18PlusPop_Pct_UR_Equity","Series_Complete_65PlusPop_Pct_UR_Equity"
"42021","Cambria",46.2121983914209,130192,35.1788844621514,35.4939678284182,26490.9,"Cambria County",354.231134020619,10.5372602739726,3.83561643835616,30,25.547619047619,15,0.177588095238095,15,0.404761904761905,2.02380952380952,94.7,83802,83793,67.7,82628,72.3,79379,75.4,31902,99.9,72507,55.7,72505,58.6,71061,62.2,67949,64.5,25833,85.4,34659,47.8,34657,48.8,34110,50.2,59.9,59.9,17056,67,8,8,8,8,8,4,4,8,4,4
"42023","Cameron",1.08485254691689,4447,24.3118193891102,24.5306970509383,18304.5,"Cameron County",306.177685185185,14.8406392694064,3.76712328767123,20,16,0,0.1613,15,1,5,94.7,3251,3199,75.5,3245,83.1,3163,86.4,1453,99.9,2500,56.2,2429,57.4,2500,64,2430,66.4,1117,89.5,1164,47.9,1164,48.5,1156,49.9,58.8,58.8,674,66.9,8,8,8,8,8,8,8,8,8,8
"42025","Carbon",21.187399463807,64182,32.7292164674635,33.0097855227882,24642.4,"Carbon County",353.2685,14.9671689497717,3.80821917808219,35,20.3333333333333,15,0.1204,15,0.333333333333333,1.66666666666667,94.7,47158,45576,74.6,46796,83,44731,86.2,16290,100,38618,60.2,38618,63.2,37930,67.2,36143,69.7,12763,91.5,16895,43.8,16895,44.8,16529,46.3,55.6,55.6,7506,63.7,8,8,8,8,8,4,4,8,4,4
"42027","Centre",46.9105898123324,162385,28.6357237715803,28.887399463807,21565.4,"Centre County",274.753267326733,11.1145205479452,3.80821917808219,30,25.8387096774194,15,0.219545161290323,15,0.354838709677419,1.7741935483871,94.7,116226,116001,74.2,113748,77.5,108392,78.4,29361,100,96263,59.3,96255,61.6,92632,63.1,87714,63.4,22721,94.1,49215,51.1,49206,53.1,47139,53.7,69,69,16533,76.1,8,8,8,8,8,4,4,8,4,4
"42029","Chester",122.214611260054,524989,23.0847277556441,23.2785522788204,17383.8,"Chester County",223.083910891089,9.98849315068493,3.79908675799087,30,16.8103448275862,15,0.0689215517241379,15,0.0258620689655172,0.129310344827586,94.7,578925,578886,99.9,559871,100,519363,100,145826,100,403700,76.9,403686,81.3,381482,84.7,348612,85.6,86935,95,169000,41.9,168964,44.3,159638,45.8,55.4,55.4,53851,61.9,4,4,4,4,4,4,4,4,4,4
"42031","Clarion",10.9986595174263,38438,28.366401062417,28.6172922252011,21364.3,"Clarion County",400.633119266055,15.3168949771689,3.80821917808219,35,28.6,15,0.15522,15,1,5,94.7,19645,19375,53.1,19542,58,18946,60.6,7632,97.9,16755,43.6,16755,46,16537,49.1,15941,51,6289,80.7,7409,44.2,7409,44.8,7312,45.9,54.5,54.5,3770,61,7,7,7,8,8,7,7,7,8,8
"42033","Clearfield",25.7612600536193,79255,32.2247011952191,32.5025469168901,24266,"Clearfield County",347.764482758621,11.7265296803653,3.93607305936073,35,27.8,15,0.15005,15,1,5,94.7,44452,44447,58.8,44243,63.1,42883,66.1,15856,95.4,39308,49.6,39308,52,38708,55.2,37362,57.6,13141,79.1,17973,45.7,17973,46.4,17725,47.4,55.7,55.7,8138,62.8,11,12,12,12,12,7,8,12,8,8
"42035","Clinton",12.0887399463807,38632,31.0164674634794,31.2879356568365,23351.1,"Clinton County",363.02198019802,13.0353881278539,3.81735159817352,35,29.6666666666667,15,0.168155555555556,15,1,5,94.7,19740,19723,53.8,19627,58.3,18913,61.1,6880,92.9,17164,44.4,17164,46.8,16853,50,16147,52.2,5606,75.7,8717,50.8,8717,51.7,8566,53.1,65.2,65.2,4079,74.5,7,7,8,8,8,7,7,8,8,8
"42037","Columbia",20.1028150134048,64964,30.6677290836653,30.9463806970509,23092.8,"Columbia County",366.83395,17.5350228310502,3.89497716894977,30,24.2666666666667,15,0.151646666666667,15,0.133333333333333,0.666666666666667,94.7,46149,45912,73.9,45665,79.1,43382,81,15438,99.9,39881,61.4,39881,64.2,38855,67.3,36775,68.6,12371,94.9,20198,50.6,20197,52,19677,53.5,64,64,8681,72.4,8,8,8,8,8,4,4,8,4,4
"42039","Crawford",26.4365951742627,84629,30.9654714475432,31.2400804289544,23315.9,"Crawford County",385.111336633663,24.34,3.83561643835616,35,24.7391304347826,15,0.132252173913043,15,1,5,94.7,49439,49258,61.6,49033,66.7,46992,69.8,18518,99.9,41342,48.9,41342,51.7,40557,55.2,38737,57.5,14405,80.2,18889,45.7,18887,46.6,18598,48,56.7,56.7,8914,63.5,11,12,12,12,12,7,8,12,8,8
